# thickness(nm)	k	b	g	r	kerror	berror	gerror	rerror
5 129 134 137 112 4 4 4 4
6 130 136 139 110 4 4 4 6
7 130 139 141 108 4 5 5 7
8 131 137 142 108 5 6 6 7
9 132 136 143 108 5 6 6 7
10 132 134 144 108 5 7 6 6
11 133 136 147 105 5 7 6 6
12 133 137 149 102 5 7 6 6
13 134 139 151 98 5 6 6 6
14 134 140 153 95 5 6 6 6
15 135 142 156 92 5 6 6 6
16 136 142 157 91 5 6 6 6
17 137 142 159 91 5 6 6 6
18 137 142 160 90 5 6 6 6
19 138 142 162 90 5 6 6 6
20 139 142 164 90 5 6 6 6
21 140 142 164 90 5 6 5 5
22 140 142 164 90 5 5 4 5
23 140 142 164 90 5 5 5 5
24 139 142 164 91 5 5 6 6
25 139 142 163 91 5 6 6 6
26 140 143 165 89 5 6 6 6
27 141 144 167 88 5 6 6 6
28 142 145 170 86 5 6 5 5
29 143 146 172 85 5 6 5 5
30 144 146 174 85 4 6 5 5
31 144 146 176 84 4 6 5 5
32 145 146 178 83 4 6 5 5
33 145 147 180 82 4 6 5 5
34 146 147 182 81 4 6 5 5
35 146 147 184 80 4 6 5 5
36 147 147 186 79 4 6 5 5
37 147 148 188 78 4 6 5 5
38 148 148 190 78 4 6 5 5
39 148 148 192 77 4 6 5 5
40 150 148 193 77 10 5 5 5
